id,Kichwa,Español
2337,Yawatisuyu, Región Insular Galápagos 
2338,Yawri, Aguja 
2339,Yaya, Padre 
2340,Yaya / tayta, Papá- padre 
2341,Yaykuchiy- satiy, Introducción física 
2342,Yaykuna, entrar 
2343,Yukuna- yumana, Aparear 
2344,Yuma, Semen 
2345,Yumariy, unirse sexualmente 
2346,Yumay, Semen 
2347,Yupachay, Cortesía 
2348,Yupachi, Conteo 
2349,Yupana, Contar 
2350,Yupay chani, Valor absoluto o numérico 
2351,Yupaychana, Agradecer 
2352,Yupaychani, Gracias 
2353,Yupaykamay, Matemática 
2354,Yupaykamay hillaykuna, Materiales didácticos de la matemática 
2355,Yupaykamaychi, Sistema numérico 
2356,Yupaykamaychi yuyay, Pensamiento lógico matemático 
2357,Yupaykamayuk, Matemático 
2358,Yupaykuna, Los números 
2359,Yupaykuska, Recta numérica 
2360,YUPAYLLI, Cuenta Bancaria 
2361,Yupaymillka, Esquema numérico 
2362,Yupaynikichik, Calculadora 
2363,Yupaypurachi, Razón 
2364,Yupayrurayri, Operación numérica o Aritmética 
2365,Yura, Planta 
2366,Yurak, Blanco 
2367,Yurak sara, Maíz blanco 
2368,Yurak shunku, Pulmón 
2369,Yurakamak, Forestal 
2370,YURAKUNA, PLANTAS 
2371,Yutay, Influencia 
2372,Yuyakillkalla, Carta 
2373,Yuyakyashka, Vejez 
2374,Yuyana, Pensar 
2375,Yuyarikkuna, Reflexiones 
2376,Yuyarina, Reflexionar 
2377,Yuyasha, Cautela 
2378,Yuyay, Pensamieto 
2379,Yuyay awariy, Sintaxis 
2380,Yuyay kaspi, Línea imaginaria 
2381,Yuyay paktay, Unidad de criterio 
2382,Yuyay rurayri, Problemas razonados.  
2383,Yuyaychipukllay, Rompecabezas 
2384,Yuyaynikik, Software 
2385,Yuyaynina, Opinar 
2386,Yuyaypaktana, Concertar. 
2387,Yuyayrikuchik, Determinación o definición 
2388,Yuyayrina, Concentrar 
2389,Yuyayrina (W), Concentrar mental 
2390,Yuyu / panra, Nabo 
2391,Zampu, Sambo- calabaza 
2392,ZIRMAPUTULLI, Bateria- pila 
2393,Ñachu, ya está- ya es 
2394,Ñakariy, Pasión de placer 
2395,Ñankamu, Guía 
2396,Ñankamu (W), Guía didáctica 
2397,Ñapash shamuna pacha, Futuro inmediato 
2398,Ñawchina, Auxiliar- cooperar- influenciar- contribuir 
2399,Ñawchina- yanapana, Auxiliar 
2400,Ñawi, Cara- rostro 
2401,Ñawi chakata, Glándula pineal 
2402,Ñawi chichu, Mejilla 
2403,Ñawi lulun, Ojo 
2404,Ñawi millma, Pestaña 
2405,Ñawi pata millma, Ceja 
2406,Ñawirina- killkakatina, Leer. 
2407,Ñawirina- killkakatina (Taller B), Leer 
2408,Ñawpa, Delante tiempo: 
2409,Ñawpa kawsay pacha, Eras Antiguas 
2410,Ñawpa pachak-watakuna, largos siglos 
2411,Ñawpa uma tullu, Hueso frontal del cráneo 
2412,Ñawpak, Principales 
2413,Ñawpakawsay imarikuchi kunakamay, Vestigios Arqueológicos 
2414,Ñawpakawsayimarikuchi kunakamay, Vestigios arqueológicos 
2415,Ñawpana, Adelantar 
2416,Ñawpanchina, Promover. 
2417,Ñawpanchina (W), Promover 
2418,Ñawpapacha, Paleolítico 
2419,Ñawparimay, Mito- cuento- leyenda 
2420,Ñaña, Hermana entre hermanas 
2421,Ñañakay, hermandad entre mujeres 
2422,Ñañu, Delgado 
2423,Ñañu chunchulli, Intestino delgado 
2424,Ñuka, Yo- mio- mia 
2425,Ñukanchik, Nosotras - Nosotros 
2426,Ñukanchikpa, Nuestro- nuestra 
2427,Ñukapa Yuyaymanta, De mi consideración 
2428,Ñukik, sensual 
2429,ñunu, leche 
2430,ñutalla, Sutil 
2431,ñutku, Seso 
2432,Ñutu- amuk, Suave- blando 
2433,Ñutuñachina, Ablandar 
